archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p5_fila_083.html,2025-01-06 17:30:00,9.0,10.0,12.0,16.0,21.0,23.0,28.0,31.0,35.0,48.0,49.0,54.0,56.0,57.0,58.0,64.0,73.0,75.0,83.0,84.0
p5_fila_082.html,2025-01-06 17:35:00,9.0,16.0,19.0,20.0,29.0,31.0,50.0,53.0,54.0,57.0,60.0,61.0,63.0,70.0,74.0,77.0,80.0,83.0,85.0,90.0
p5_fila_081.html,2025-01-06 17:40:00,1.0,3.0,4.0,6.0,18.0,19.0,20.0,23.0,29.0,34.0,46.0,50.0,52.0,60.0,61.0,63.0,66.0,68.0,83.0,87.0
p5_fila_080.html,2025-01-06 17:45:00,8.0,15.0,16.0,24.0,27.0,28.0,37.0,38.0,39.0,43.0,48.0,49.0,55.0,61.0,63.0,64.0,66.0,81.0,83.0,84.0
p5_fila_079.html,2025-01-06 17:50:00,1.0,2.0,3.0,12.0,14.0,16.0,19.0,20.0,23.0,24.0,28.0,41.0,42.0,43.0,53.0,63.0,64.0,79.0,82.0,83.0
p5_fila_078.html,2025-01-06 17:55:00,1.0,2.0,3.0,4.0,6.0,8.0,11.0,24.0,26.0,27.0,43.0,51.0,54.0,74.0,75.0,76.0,78.0,79.0,87.0,88.0
p5_fila_014.html,2025-02-06 11:00:00,10.0,12.0,20.0,23.0,24.0,27.0,31.0,35.0,36.0,37.0,42.0,44.0,47.0,55.0,60.0,62.0,64.0,83.0,85.0,88.0
p5_fila_013.html,2025-02-06 11:05:00,16.0,20.0,26.0,27.0,28.0,33.0,36.0,38.0,39.0,46.0,56.0,58.0,61.0,66.0,71.0,72.0,80.0,82.0,85.0,86.0
p5_fila_012.html,2025-02-06 11:10:00,3.0,12.0,16.0,18.0,20.0,23.0,27.0,29.0,32.0,33.0,34.0,42.0,43.0,52.0,54.0,64.0,68.0,71.0,77.0,84.0
p5_fila_011.html,2025-02-06 11:15:00,3.0,7.0,8.0,15.0,23.0,25.0,26.0,27.0,30.0,32.0,37.0,41.0,46.0,58.0,65.0,67.0,72.0,76.0,83.0,90.0
p5_fila_010.html,2025-02-06 11:20:00,7.0,11.0,12.0,16.0,22.0,25.0,32.0,37.0,41.0,42.0,43.0,52.0,57.0,59.0,63.0,64.0,69.0,76.0,77.0,86.0
p5_fila_009.html,2025-02-06 11:25:00,6.0,9.0,14.0,16.0,21.0,23.0,24.0,47.0,49.0,50.0,52.0,57.0,59.0,60.0,66.0,70.0,72.0,73.0,74.0,79.0
p5_fila_008.html,2025-02-06 11:30:00,1.0,18.0,19.0,25.0,26.0,29.0,30.0,32.0,39.0,47.0,60.0,61.0,69.0,75.0,76.0,77.0,79.0,81.0,86.0,90.0
p5_fila_007.html,2025-02-06 11:35:00,6.0,19.0,22.0,25.0,27.0,31.0,32.0,36.0,38.0,45.0,52.0,55.0,56.0,57.0,60.0,66.0,75.0,76.0,88.0,90.0
p5_fila_006.html,2025-02-06 11:40:00,2.0,16.0,23.0,26.0,27.0,29.0,30.0,31.0,33.0,34.0,40.0,41.0,46.0,47.0,52.0,55.0,57.0,66.0,79.0,83.0
p5_fila_005.html,2025-02-06 11:45:00,4.0,7.0,14.0,18.0,20.0,23.0,25.0,27.0,45.0,47.0,48.0,50.0,60.0,63.0,66.0,77.0,79.0,82.0,83.0,89.0
p5_fila_004.html,2025-02-06 11:50:00,1.0,4.0,5.0,6.0,8.0,15.0,18.0,19.0,22.0,23.0,26.0,32.0,33.0,34.0,36.0,41.0,55.0,59.0,68.0,77.0
p5_fila_003.html,2025-02-06 11:55:00,6.0,17.0,24.0,26.0,28.0,29.0,34.0,36.0,37.0,44.0,53.0,54.0,55.0,56.0,77.0,78.0,79.0,83.0,85.0,88.0
p2_fila_026.html,2025-02-06 12:00:00,2.0,3.0,4.0,6.0,13.0,19.0,21.0,28.0,30.0,37.0,40.0,45.0,58.0,64.0,70.0,73.0,76.0,79.0,84.0,89.0
p2_fila_025.html,2025-02-06 12:05:00,13.0,18.0,20.0,21.0,24.0,28.0,31.0,39.0,40.0,45.0,57.0,62.0,68.0,73.0,75.0,76.0,78.0,79.0,80.0,90.0
p2_fila_024.html,2025-02-06 12:10:00,1.0,4.0,13.0,18.0,20.0,25.0,26.0,28.0,29.0,38.0,39.0,40.0,43.0,46.0,50.0,63.0,72.0,76.0,84.0,86.0
